#Cfactor 1.12287419
Recipient s819 s1090 s1235 s1262 s1482 s1488 s1552 s1956 s1957 s1977 s1983 s2119 s2221 s2232 s2233 s2259 s2277 s2327 s2332 s2333 s2337 s2340 s2341 s2342 s2343 s2348 s2350 s2352 s2353 s2354 s2356 s2357 s2363 s2375 s2376 s2377 s2379 s2380 s2382 s2383 s2392 s2393 s2395 s2396 s2397 s2399 s2402 s2404 s2405 s2411 s2421 s2422 s2426 s2427 s2432 s2433 s2436 s2440 s2445 s2449 s2452 s2454 s2456 s2472 s2474 s2477 s2485 s2496 s2497 s2499 s2500 s2501 s2504 s2506 s2509 s2511 s2513 s2514 s2527 s2528 s2549 s2550 s2551 s2555 s2557 s2563 s2564 s2565 s2566 s2567 s2568 s2569 s2570 s2572 s2573 s2574 s2575 s2585
s2337 278.300311 195.85724 209.366681 318.942243 258.549697 205.225231 188.355262 223.700102 193.940217 192.087935 321.284738 212.294624 261.748558 270.873091 219.059597 221.897572 253.461042 190.737704 177.054822 256.084905 0 254.985131 219.296724 265.557694 202.322975 315.192515 197.567835 250.112731 174.552976 183.447184 245.744704 211.087532 314.040938 209.531557 220.589214 262.403266 260.646805 280.867399 285.304255 201.594526 392.646266 273.883963 185.666305 261.004455 209.817667 242.946551 221.717756 205.848956 195.370644 196.757722 194.745961 263.863517 273.572575 178.702005 234.357884 323.610346 181.255378 264.73079 219.260693 234.768359 281.088783 228.476233 202.439048 194.918247 243.54236 179.420257 247.824157 185.843347 209.033783 249.572015 228.100359 277.563971 263.93803 289.649703 211.501872 341.662536 200.864195 215.224567 198.857765 204.988787 219.497155 165.989625 263.392021 189.476702 290.29747 235.617102 205.158638 187.970904 185.703951 214.017138 281.540006 271.691766 207.933403 195.989685 213.574847 200.892198 186.885902 253.132287
s2340 272.523559 209.553616 226.00943 285.220248 214.647096 173.229545 223.189689 225.849681 199.233705 171.960458 426.613209 167.481565 291.239638 308.371323 236.72051 227.111477 258.600435 184.602401 177.655247 249.355288 260.243307 0 395.525732 250.924684 221.143244 245.402579 262.269436 243.95832 179.798007 192.198919 282.782508 200.837641 326.807179 187.635861 203.752984 261.703255 237.082557 234.021758 299.165116 199.360495 267.263361 301.354093 187.968025 257.018327 206.472608 207.467808 216.599906 225.584491 201.769295 193.819189 233.234678 250.877712 272.134614 192.83858 408.317283 291.185971 202.617 223.642618 213.708344 223.646361 271.262554 238.63689 237.136357 202.437032 245.69391 206.992265 226.048677 216.499482 238.365871 220.397609 242.367816 332.176547 234.940417 257.432612 208.637985 294.122162 207.415365 180.228203 230.18586 199.165447 207.770287 206.651869 269.717278 205.285386 268.564106 216.210286 199.711404 168.800538 165.125237 213.09119 251.375848 266.279091 199.840535 238.591635 216.695009 227.301563 182.871975 340.817581
s2341 248.094602 215.422688 193.019351 241.528462 170.706235 196.81776 215.733009 251.729096 170.358497 163.806148 266.636055 183.717857 239.739342 267.108169 183.949374 214.926198 179.179223 180.202969 190.322483 250.20837 204.766397 345.096737 0 234.755205 178.96337 230.951434 306.814966 243.830088 179.573238 183.5694 299.029372 156.960974 292.012923 187.34294 195.881892 276.066552 198.614012 208.203698 229.357317 197.399687 206.789842 211.206866 192.127011 212.254002 208.616512 193.756119 168.543104 189.796794 188.961654 206.628082 214.660937 270.379705 272.134428 180.849345 550.229845 243.654409 189.702378 228.826197 186.040122 176.414171 227.952383 220.238458 198.280407 192.30465 203.026713 184.984532 184.86583 168.397692 227.727671 185.394157 206.604602 226.46963 233.627032 243.087802 195.988833 268.746669 164.884232 174.065604 194.750033 181.271762 164.543721 201.160503 228.801181 190.893607 285.15264 197.152449 198.668667 160.469153 182.192617 152.194258 226.558661 186.107678 179.144426 189.955952 172.738582 172.955628 174.977628 455.351175
s2342 226.588245 178.858295 174.481098 227.235838 204.277096 173.914597 159.509292 266.510926 174.795361 142.581886 342.8728 160.443765 272.184374 257.098486 158.676594 188.224456 250.964178 142.259354 167.939446 316.044587 235.772516 231.560699 242.25625 0 173.337707 247.626125 201.555739 237.777299 158.701559 159.567106 212.418104 161.950713 272.182742 162.839131 156.908414 221.399425 240.252192 364.799276 214.518499 153.632388 273.432343 232.423779 170.572358 295.728676 182.799664 191.902237 172.534221 162.67344 156.207598 173.60513 171.430265 286.268028 280.3791 170.054873 223.972331 187.952869 186.634081 245.397021 183.323559 154.216465 243.027882 219.445344 165.773258 182.585076 234.607986 161.464501 189.673275 156.781119 164.381613 184.982638 184.305881 226.187314 413.920848 262.736917 185.283603 232.491765 144.609008 150.211972 156.057777 184.431012 168.155343 202.758933 235.936014 175.932535 251.57826 190.086983 163.842022 180.52512 176.201606 177.032459 229.201303 195.380828 174.124094 159.319294 197.07324 188.869148 162.228833 264.796538
s2343 234.050389 194.528332 184.446649 156.095961 201.471977 188.95572 186.902406 141.782796 199.080192 208.701332 181.002653 262.178249 148.229428 143.685366 178.761133 197.19487 137.019207 184.413022 150.897089 156.668723 160.305912 171.468267 156.596486 156.636291 0 163.513709 196.533999 159.582847 165.835304 176.007193 131.42604 161.992083 147.119524 289.300144 184.302829 179.297354 211.222902 179.233416 174.133179 313.701847 192.741845 166.635679 184.579116 163.956272 273.212831 201.253956 268.987548 173.819062 168.71693 170.282486 165.441653 163.663424 178.137647 211.189955 144.942325 161.105748 177.35303 163.016501 211.816334 195.9591 144.324606 165.039456 198.503669 246.597403 186.324249 205.722148 170.764967 229.861312 213.338387 189.080972 216.882704 182.873844 139.954762 182.704285 210.623677 166.635508 250.62298 203.423565 250.102206 286.549208 193.989347 294.084369 181.143035 180.849462 169.921562 191.094515 246.999838 200.442919 186.625324 212.324 156.346189 200.625951 352.585333 230.976328 166.760461 254.106953 200.026851 183.656951
s2348 241.018968 185.172249 166.313835 234.730043 239.510441 151.289117 147.665313 208.056197 168.817403 170.880103 245.101292 161.671753 235.59917 219.059451 157.609356 161.747041 211.862493 168.028946 138.210345 261.874527 233.77577 196.975847 199.20858 233.038523 176.014261 0 203.039238 234.049496 156.930287 146.730933 182.845044 170.588514 234.181703 165.089702 158.639877 238.286168 195.957242 207.468518 219.272916 174.544283 286.6337 199.891882 171.128755 214.407536 180.575691 237.139448 160.567695 160.973291 154.494224 176.480414 168.60237 251.443894 206.359312 153.164134 239.97557 232.166701 149.656287 195.247472 163.923983 160.53038 255.221834 207.972958 162.738076 184.142259 226.082594 152.766073 251.064201 170.669003 158.699152 241.525174 179.734609 226.412986 211.185837 260.43026 184.364699 269.394284 158.515589 170.379564 157.968305 173.996852 163.816233 184.481531 246.280321 152.647744 237.307722 208.949514 158.861971 159.948076 176.578772 155.154514 185.07013 173.244159 177.654354 145.735824 158.274694 170.083994 171.659759 246.529285
s2350 231.385469 282.8267 188.78913 188.116004 176.526647 174.33352 240.762528 183.851394 180.75147 158.590416 205.922093 175.404017 186.659415 241.70159 185.207414 188.476668 167.071168 217.496327 165.361878 197.29125 166.016258 208.563652 264.015036 188.149028 220.711836 222.689007 0 192.183682 180.460545 163.740146 192.38449 172.931712 206.53641 180.163025 172.207474 235.017609 199.683144 196.609788 276.816958 224.10912 193.311985 222.149425 173.759856 182.133665 217.07452 225.611474 157.015287 208.686983 191.362802 182.952298 239.01676 200.514577 199.892043 198.064567 281.965561 168.372485 186.666716 207.450855 207.753668 179.69719 215.588954 187.867117 257.297527 201.856882 196.369147 216.526759 180.553907 211.863431 269.028188 185.444821 267.871638 220.484522 193.849233 236.132042 170.353394 218.932451 179.612652 182.214789 212.104785 290.20528 155.919199 222.342114 241.135223 172.134626 203.683944 216.218697 210.555693 176.603714 197.630641 172.266907 206.238127 201.917058 216.108998 218.422293 175.572031 209.931105 179.611617 246.546443
s2352 272.597036 168.741853 183.633527 259.748171 191.036406 149.838339 156.355701 237.110213 148.073504 210.028505 272.125826 186.287351 429.027014 199.103243 159.024415 207.260455 211.693595 225.607473 187.290959 538.625255 231.978177 230.047242 228.075979 240.881321 192.294119 260.195117 202.716332 0 221.969527 214.963068 227.941515 158.057689 231.556618 165.647698 232.888345 512.332378 236.849559 226.711396 221.712699 191.056357 236.657543 240.084157 235.409279 229.08608 161.331118 232.549822 183.66449 170.489145 204.16936 187.875345 196.31754 260.277729 264.072217 154.500944 215.028541 233.064432 172.076638 225.285818 208.146561 169.772945 295.705165 215.447293 216.560369 171.557148 233.838414 167.814141 291.21926 178.855474 210.622835 254.94484 208.364051 224.214769 282.192449 292.910353 193.454068 250.482232 154.790458 165.060545 198.714842 190.817902 171.379817 180.302093 213.283448 207.503899 212.813469 295.413504 164.342087 154.849044 156.039921 167.863739 216.171268 183.043565 168.718738 159.994789 179.019681 166.485538 251.057706 277.371359
s2353 280.070606 258.485763 364.814436 190.761013 208.25336 317.436032 224.578498 219.091517 380.028893 253.689572 208.555021 219.714277 241.314666 210.921923 209.433775 284.949387 193.468147 479.727161 299.801687 244.729384 191.793389 188.355038 215.986316 203.511588 252.060013 197.39066 258.304125 254.277753 0 323.653257 197.047751 337.485616 199.0797 221.272525 317.651169 261.223357 220.574714 226.280993 196.94192 263.732827 197.292736 214.19525 353.910781 188.557225 209.808023 235.810264 236.855397 239.415949 322.526032 284.958455 228.615547 203.473936 203.102353 211.13784 213.249293 200.831528 243.282307 232.5098 267.873197 391.739487 202.70666 186.157729 248.956658 216.494222 206.922614 215.307438 255.888336 215.683625 249.024315 205.848455 246.468607 205.883223 213.474018 207.489153 254.273743 207.949543 198.164488 197.729195 252.859748 219.310713 281.500499 254.956644 214.102092 315.60554 201.86968 259.603053 204.332767 286.921512 327.465277 199.197613 207.176443 205.746056 217.986875 209.225403 287.208902 234.64895 416.992431 206.028244
s2354 261.472686 188.691667 240.492192 201.536744 166.881995 248.597714 178.073154 194.281182 202.172122 235.00214 197.553207 207.528149 225.243137 170.101625 177.974449 532.642827 169.296059 338.21045 587.101959 272.69527 184.164529 190.407792 204.079082 191.156047 207.938057 176.240049 192.834676 240.087174 276.352726 0 188.252907 190.580051 184.05624 182.480174 252.256771 274.363768 212.917933 197.664589 186.026727 215.428121 190.998918 169.73101 344.709342 181.719868 198.750632 194.270859 213.540408 261.697584 325.556585 364.573936 212.64549 195.549138 237.823018 214.894172 199.581221 175.758024 377.394829 225.66782 215.778263 236.792628 223.709112 193.735086 189.31679 224.571548 177.124235 237.480282 216.434927 193.150101 202.130162 202.193359 210.751239 200.182244 185.077222 183.733526 308.597573 183.130565 212.724014 204.989474 214.262068 204.64651 418.158245 197.41333 199.341423 569.899097 188.37683 220.00284 195.263643 266.415667 216.547815 185.753196 200.364139 178.472555 180.760097 178.51126 345.583586 179.995088 557.36023 203.301777
s2356 240.458896 213.492388 214.471591 289.507639 214.139368 221.88528 253.591558 327.906871 187.034899 191.272622 254.685963 198.698021 259.301818 282.059928 236.194294 197.706516 285.153049 167.853062 190.30841 242.29399 273.874763 306.910842 328.723646 255.128679 178.421082 253.017526 240.025018 264.844571 197.2182 196.356199 0 219.680926 300.86453 231.482376 193.808341 245.393206 268.816212 279.118484 361.113504 197.089255 244.908174 269.445933 208.641808 302.229277 214.133227 219.17927 236.044648 227.464833 219.650468 222.733811 240.06871 297.354269 305.416592 215.601351 290.334736 255.665396 189.874747 258.960968 231.187664 199.891475 286.841159 273.250836 198.474296 235.774465 240.108768 193.098677 212.687966 213.508275 203.033637 238.71715 228.853048 279.157873 279.502005 327.055906 223.737686 273.234346 205.855854 236.097719 188.929277 181.075331 215.156985 207.811526 262.139852 186.459191 283.350936 213.654156 202.47674 199.486622 196.255349 205.396768 269.581789 266.620941 211.942213 236.85394 258.134122 195.903356 175.711524 280.459537
s2357 270.485837 237.287407 366.766694 184.104525 240.147525 430.458927 280.126831 182.646803 651.94372 169.877978 202.396493 169.843555 140.843728 226.823836 201.265775 188.791208 216.411547 446.704899 200.254402 144.300614 217.327574 200.008945 163.516734 179.470331 215.178768 190.535436 195.634715 139.48989 305.440094 172.429003 207.533476 0 233.48899 233.144579 198.793746 140.910762 187.712449 187.026506 212.443933 201.467361 223.434837 169.521047 179.303203 176.477115 229.571409 237.302482 217.829011 210.063183 169.389767 295.297783 187.911956 187.510529 199.263772 222.4169 213.432325 230.268614 168.115138 200.143629 206.17429 735.541573 166.336789 183.853194 182.257394 202.562996 181.462722 196.920006 187.860298 187.324665 181.131158 215.064641 166.267919 222.858242 157.289727 203.682153 191.587831 183.065199 211.603836 203.264009 189.750725 191.435549 220.261193 213.766657 190.305568 185.785154 188.873224 142.592317 228.712024 208.571766 450.667756 209.947678 200.900586 216.487255 188.14042 199.114148 237.54376 215.664161 193.002232 165.828864
s2363 262.698018 212.694984 179.688841 279.409018 208.62734 210.497428 229.174264 296.179926 210.006174 159.662041 346.537597 170.817061 298.176414 316.31503 211.569334 189.559287 268.360492 159.812704 167.089853 223.124495 328.888102 331.433508 307.004501 301.213053 184.95669 275.798102 231.710179 246.293044 182.387215 179.25362 298.505069 228.814504 0 198.132617 183.076444 216.035265 219.869436 250.094994 251.869418 170.71496 323.305129 232.829564 167.595138 288.373486 191.856218 209.310017 216.025519 215.021258 187.522775 187.862748 233.351623 278.571728 348.326245 215.36512 287.413049 290.512129 184.133956 244.498474 187.570437 193.622526 294.93283 208.64696 194.677368 187.672564 227.1844 199.525613 225.041432 165.699885 193.435154 189.758416 176.92261 245.271949 291.132768 291.141066 170.342924 290.281076 162.719775 173.197884 189.171931 195.658849 183.809632 171.31669 266.098184 178.667463 264.457008 172.496625 199.464796 174.413295 199.024079 193.340129 232.292154 220.407531 193.982498 232.611756 179.0981 187.936013 162.194219 269.262198
s2375 195.589041 263.777171 217.417603 194.185135 225.643136 215.665991 327.541036 193.908362 194.370641 260.912801 182.882381 277.792833 166.459402 196.46391 310.737354 166.47943 208.822158 157.769562 197.422457 160.70656 204.992066 181.553647 197.658483 177.428969 356.270671 184.422582 208.196766 162.465572 189.945452 173.472785 222.007946 233.781482 199.383112 0 214.357389 167.295886 223.973881 202.135393 220.200141 463.510231 204.11957 192.817022 191.362487 213.417122 346.007667 212.987913 341.603887 244.463503 223.199328 197.706713 296.67818 198.544011 206.284155 279.099462 178.814731 211.472421 183.972765 203.069631 299.138322 207.47463 185.129924 193.311491 284.662145 249.447001 181.369887 242.210734 185.174234 242.736396 315.165066 188.236092 243.176177 215.138434 190.483915 183.944508 219.391563 183.491383 280.966717 272.06339 262.507242 321.276606 176.158906 236.44134 205.269754 180.575622 176.68813 176.474599 349.523116 196.965702 208.70028 285.156122 199.685067 206.864262 370.104813 331.179278 192.563003 279.262161 179.59755 197.476719
s2376 318.271955 361.055163 305.76 277.899828 243.903557 282.028026 319.307993 264.096566 259.242627 324.273623 239.003539 311.592416 280.706334 235.389713 313.758761 302.15843 259.671349 321.921009 298.322511 279.109828 306.074159 285.784274 283.590695 254.052328 322.484362 259.720325 290.00591 312.284463 378.826348 343.809748 269.937738 262.493653 251.892748 295.141141 0 297.937433 328.035613 265.786577 293.71628 356.111476 273.082316 277.687337 445.783 242.227867 294.202476 247.080969 361.0088 347.246714 484.697327 337.853345 364.6122 265.650481 289.737433 300.943514 289.702227 278.30355 324.930263 300.080851 416.124161 282.251472 284.166236 275.84196 396.452775 318.337979 257.264523 316.04928 273.750604 275.54389 391.857851 270.742099 369.966594 246.069606 257.006138 249.367889 311.812584 269.730571 276.439296 267.913003 364.0023 324.12864 350.254662 309.277688 252.930001 348.452881 282.879258 299.55141 313.847156 427.425778 294.47113 304.234046 271.864615 286.354319 275.072133 294.264384 375.997026 289.615169 355.953199 287.16013
s2377 279.53521 170.948733 183.498473 221.636948 195.113453 150.402874 156.107168 210.889576 148.856797 204.192314 241.794754 186.460219 321.926758 179.626825 158.170624 206.652475 199.409813 258.086131 184.551312 508.920015 209.529207 211.45748 224.398516 202.695652 187.798303 215.533732 208.69587 445.060469 199.859163 221.069063 206.998337 147.232054 200.03938 159.794029 190.922166 0 198.839353 193.380032 206.849033 172.170753 200.197939 208.653921 225.673234 203.621167 172.20379 217.273196 190.056088 163.801995 198.731134 176.36712 195.580877 228.692546 245.265498 147.451316 207.928338 218.541999 165.42569 194.698158 223.765253 180.798382 237.634441 197.07352 226.228456 192.089115 209.973562 168.604951 324.738148 188.258459 202.517812 208.863375 219.457773 279.459133 217.749951 216.484296 179.818098 247.536783 175.664316 173.183517 214.510798 196.973612 172.807573 185.010379 222.798899 190.572046 214.114847 300.712383 163.277155 142.828696 148.509274 178.722308 205.24081 183.102232 168.430223 174.022292 176.076236 155.65027 300.140377 246.920749
s2379 247.275007 183.155993 192.340905 222.793069 189.975485 187.759666 185.372581 161.174756 181.408511 176.979614 251.260362 191.056975 182.311079 162.460785 169.735905 242.789735 187.900694 171.583515 176.981142 204.049376 215.720033 198.982404 189.50262 216.716017 230.838643 222.960151 194.843797 203.359667 158.116188 187.685094 206.024192 163.094865 186.391738 192.166541 188.773274 215.06796 0 192.723315 204.822826 225.38792 240.886351 265.283208 190.740953 218.480416 208.606138 201.540775 195.220464 198.440179 221.729307 197.946948 175.418858 189.163015 220.845866 219.226704 179.855342 205.181292 200.393497 274.296391 222.925379 188.825417 194.150826 199.770211 199.220831 208.825421 248.484897 207.928155 193.873274 209.743632 195.990194 214.852348 231.051428 242.003064 208.223776 216.618166 269.050643 299.511795 180.394711 186.883986 201.968555 203.479762 239.97958 221.200123 220.706813 185.286428 212.345211 236.137521 218.355958 263.877986 189.730616 186.275896 191.050205 191.927896 188.000107 182.161266 248.725202 197.511354 204.472424 220.308341
s2380 213.493703 157.41493 183.473623 231.445732 237.369248 184.741773 192.708352 343.785406 183.042343 184.099589 267.885885 175.976294 244.983754 247.869762 154.943139 195.00799 199.348826 161.198136 179.676228 282.356289 250.588694 216.660155 211.144393 380.988483 214.922261 234.142882 221.538573 229.564525 178.577942 178.398058 238.926224 184.09789 223.749458 197.119246 174.56749 215.110925 222.826711 0 205.45434 181.20851 243.370457 224.130106 181.494686 315.365694 184.945774 201.986075 199.300537 178.805729 182.722397 233.520295 161.662697 262.442855 365.598759 173.726784 224.948556 224.082616 190.809781 223.0197 175.145054 170.5763 228.525916 226.537087 155.472466 181.819625 228.306321 167.897167 246.502842 168.99652 159.369372 221.132109 184.571788 235.194844 265.231787 268.463237 207.906052 224.528352 175.506404 176.39121 159.44769 181.552194 187.48882 206.944267 249.952277 197.00331 275.836239 219.701003 181.291422 205.930991 169.837296 199.290617 238.614641 199.171789 193.82812 187.590543 241.729425 187.923093 168.599983 241.994368
s2382 276.565349 261.54982 187.857727 274.814021 197.924959 163.643171 225.188675 196.489293 181.580332 153.03115 226.908593 155.302245 205.98613 224.29673 201.18871 178.620977 205.656786 165.17902 164.639018 214.702916 257.797395 236.888854 210.55546 222.280787 202.334083 234.322834 286.283144 206.136041 152.54607 154.451789 280.058538 183.087205 211.30791 201.691652 179.132622 233.902389 216.879147 191.446242 0 223.254913 277.811851 234.802159 164.459817 226.543298 195.513259 205.857939 157.273622 189.119912 193.993686 182.48416 233.747407 258.672668 236.155071 203.694189 224.573237 238.520225 191.173315 217.749628 213.630562 202.277423 217.581536 194.743944 248.461674 198.411381 232.460641 196.918318 168.294452 175.040011 235.308056 212.355901 252.101219 291.197254 211.392813 276.109987 183.215211 253.168821 197.807289 194.782718 182.454827 269.787728 170.759622 214.208812 214.33112 157.175384 219.632732 227.167683 193.572372 162.752899 188.233093 184.791537 233.668895 251.081031 174.355883 197.545882 190.985662 190.270112 183.636834 275.668118
s2383 250.250103 203.294651 215.081167 199.379814 178.759179 186.012429 176.490047 145.88758 207.75458 203.868018 162.664482 263.454552 153.445871 158.650507 209.679318 206.574618 163.8422 187.566696 164.060644 172.946481 174.63272 154.306014 172.191616 144.886215 340.68336 185.418841 224.967271 168.691659 190.650663 180.751268 168.964028 179.225284 145.943835 380.028256 198.152816 195.943177 228.523347 165.197098 203.9571 0 180.925979 187.429009 216.735748 168.428077 284.170782 188.621153 246.33314 178.102002 196.697121 202.316568 195.209718 171.237434 152.691011 212.395369 172.894706 176.176044 200.937756 173.886937 265.805961 209.060331 168.023164 173.574787 237.022979 229.573055 172.572503 209.509743 189.367668 265.132179 229.16753 200.77977 225.594313 211.576221 157.34483 199.735778 253.887143 189.142174 262.241463 272.635682 232.955432 257.149989 201.103778 243.05443 214.638853 190.514535 159.518968 190.309054 225.417133 232.529683 233.595174 213.989226 167.206248 201.149482 294.907749 237.302819 201.250414 243.972677 235.006489 197.568151
s2392 316.930392 165.587048 189.519182 280.581572 207.574113 166.029304 152.334893 170.29671 194.471198 154.985553 250.074983 161.000984 168.947694 239.854144 186.034023 198.815143 210.755846 183.30669 146.6107 212.866169 310.393183 223.578786 175.76696 255.095459 192.698812 266.509587 176.082159 210.772379 144.544482 159.395725 191.626599 191.404955 234.864593 184.10986 156.374859 203.900963 226.689891 225.868114 262.640578 164.213532 0 250.469928 160.220722 204.295228 207.736974 211.370299 181.454963 164.10932 151.191159 179.731729 156.727009 223.813982 250.160273 168.350391 178.054408 273.54247 176.042622 220.05574 191.651548 231.343895 303.947508 230.196476 175.432082 192.150733 263.451659 160.609268 233.184015 174.514568 162.954174 252.671015 204.916573 298.004183 199.325374 227.203 218.095344 242.735021 215.509969 179.738652 175.270815 214.278279 213.57161 187.350848 236.473745 156.942879 274.641841 210.279522 165.823461 178.038554 182.857966 178.702774 242.433392 174.953324 163.091527 172.093926 215.398136 176.423457 165.512179 247.570028
s2393 281.356142 163.44515 198.930526 241.850543 213.415088 150.54102 144.248536 174.349513 175.034914 175.309001 272.195673 174.500073 225.758001 196.584457 158.4016 174.198075 233.822698 172.863056 143.587507 262.210019 233.842328 237.983951 188.530528 237.912552 188.453684 211.164067 228.191543 230.025066 160.383861 153.153165 208.872163 154.175449 198.441272 161.405512 179.218889 236.743218 257.931498 205.123945 214.710335 193.985135 271.426605 0 162.673361 256.122751 230.123785 256.028287 172.737667 161.7359 174.639731 159.33591 143.533616 182.457609 236.480002 157.710031 192.876664 369.765646 157.450286 175.325754 208.16797 178.039243 188.683659 217.444697 207.577577 222.325615 520.164534 169.485991 301.461035 212.590024 197.720412 268.377228 241.91791 274.709948 272.5332 220.25232 208.433501 255.924388 189.067668 190.402609 165.587916 209.766955 199.308794 186.040803 254.074771 163.276384 222.479668 371.944514 167.334011 178.593967 156.448583 208.082386 226.200301 193.730836 177.255894 172.800432 189.176406 190.214462 171.14029 202.311753
s2395 254.970523 203.615238 190.633516 180.43098 183.166173 165.819951 197.471138 192.624614 171.747631 303.507756 191.112429 266.838293 221.088424 163.045475 178.085948 273.025825 170.940002 238.265452 252.948299 255.125766 178.369054 177.474881 202.306552 173.740605 225.424205 190.461636 194.024959 248.378901 299.126081 335.80188 190.895643 184.086133 163.62744 184.907067 317.854526 275.562285 218.96368 182.848015 185.915069 233.934757 176.848705 175.850335 0 171.797827 215.764761 177.458589 218.400756 247.315768 503.793148 220.529377 226.891665 172.620616 192.421669 205.423286 221.968842 180.064668 260.634295 206.217386 232.62302 197.537948 188.29086 169.793148 245.641962 217.63314 183.718388 232.507559 222.273065 226.768077 246.725219 177.329519 226.181669 189.08162 176.126174 165.675632 256.2771 211.297919 202.023146 208.432324 245.950531 220.313592 284.53816 234.17302 181.106198 318.786436 165.129999 242.266457 197.400866 317.95068 205.616622 228.116794 186.301326 188.154899 192.056977 203.941227 276.315087 179.682789 419.463792 183.962466
s2396 195.502043 166.327127 195.042821 242.799043 245.933457 198.853415 174.290285 307.857001 188.5786 159.84928 333.280759 173.839885 303.272572 272.273395 181.016453 195.533989 288.029974 147.180522 192.775516 284.597882 246.200638 243.112827 235.704385 336.527483 205.142233 250.596706 183.931567 235.59055 149.663188 171.261971 282.211147 186.143762 282.787452 203.67155 173.873527 206.145281 266.815908 336.914274 271.910022 184.185946 239.618474 306.497057 171.454674 0 186.39059 243.936006 211.066649 203.457888 213.432293 195.31913 179.337621 254.969361 359.764468 200.278662 214.157001 251.73012 226.701486 238.985907 214.109901 182.498459 255.911222 241.070362 190.33977 186.004387 312.143504 185.453854 198.65632 199.978016 199.402799 226.468788 228.077968 284.783766 477.776512 273.717749 200.879282 333.026549 188.242475 189.184364 178.863884 190.749344 204.59142 187.603569 228.379753 216.950333 256.00786 228.40911 169.541453 207.034879 182.617885 189.049502 232.426901 212.42646 172.079653 200.849414 259.708349 198.923383 169.76853 219.739823
s2397 250.06141 210.046142 186.655223 180.610162 164.272362 169.618966 171.503237 139.49336 180.050205 231.654352 167.202032 227.90284 141.834761 157.726915 199.964326 205.625667 177.564667 175.554208 142.795337 150.798215 163.504417 164.252363 169.65237 162.260004 283.919655 170.827291 197.670845 149.645415 148.219183 153.932676 160.757154 180.888559 160.725856 276.447726 167.101872 173.333192 199.389967 157.291237 185.15658 268.938467 210.30743 202.225204 185.826438 154.394622 0 165.609232 213.639424 218.826818 183.520394 177.328837 207.837749 161.913723 168.60846 262.836211 163.417637 187.244708 190.252314 173.299051 210.87494 199.547259 158.219538 166.512252 291.362892 319.689854 180.422119 269.973461 170.755468 308.03415 297.716037 210.013382 265.441987 221.198628 159.639524 172.639624 237.465373 211.967352 326.977389 315.462663 272.700915 324.140752 225.108987 224.650588 207.860179 186.653338 151.540156 188.610911 250.388296 202.018136 157.324266 241.415512 177.958104 191.851313 251.190042 267.513976 198.020087 233.994825 211.466529 173.139188
s2399 300.009976 132.711389 169.702671 185.004512 406.661694 163.341245 118.253817 150.302482 158.825357 151.977919 220.27913 164.719873 159.463404 141.780717 115.780038 190.205639 184.527333 163.613713 118.819854 189.90823 183.150582 147.271743 153.077512 150.04421 184.951325 190.225268 169.220956 171.340118 152.477304 140.100243 145.829538 165.446228 158.003614 148.808731 129.284168 188.766302 158.949083 152.678925 171.417918 152.402617 181.480743 209.771118 137.081721 174.553806 145.669161 0 148.782403 109.322612 124.18797 135.696395 110.205334 158.486677 162.596019 132.966427 175.72363 199.176476 169.453799 168.646844 143.862814 164.423127 177.439605 182.998226 139.759428 148.700673 259.821445 124.028492 258.704871 173.576481 125.899651 462.367693 157.85449 212.059294 178.305147 215.102352 152.812966 181.147116 154.287967 170.765873 138.932469 180.378527 141.407156 182.645445 186.688726 137.28839 168.844478 241.351051 146.047683 144.659415 153.586855 143.946538 231.641431 144.038409 163.727975 141.579903 144.219697 154.598498 162.596 167.770041
s2402 253.481867 206.251435 236.840385 206.785188 244.740134 249.583662 216.093511 176.42866 214.321426 388.189328 198.788702 375.66538 181.082635 197.003558 256.476405 199.082997 226.818549 189.137068 187.003902 190.988682 228.084122 228.886977 194.957003 201.714978 351.830164 204.739072 188.917059 192.759451 204.545289 217.214316 222.891337 243.203456 225.100453 336.764792 273.469294 196.293362 251.667775 209.394061 191.93604 283.837472 226.729889 216.066989 238.701427 211.228636 263.682937 211.847003 0 269.360531 317.473412 214.113435 278.269449 188.026837 249.015298 244.770188 184.857681 250.744518 202.323631 210.548455 415.013111 266.161663 192.540768 235.181066 270.816215 363.549821 202.010316 236.067334 225.282218 281.000859 283.475713 236.713694 323.543848 252.951934 227.153037 187.057419 254.599757 249.199283 343.924869 253.550786 315.726031 246.716254 235.014725 263.709352 225.526454 211.187138 222.720413 224.516824 317.219425 238.854876 197.14266 338.616014 224.894353 192.009573 380.339049 271.515636 240.866169 312.217601 218.318799 207.399713
