#Cfactor 1.12287419
Recipient s819 s1090 s1235 s1262 s1482 s1488 s1552 s1956 s1957 s1977 s1983 s2119 s2221 s2232 s2233 s2259 s2277 s2327 s2332 s2333 s2337 s2340 s2341 s2342 s2343 s2348 s2350 s2352 s2353 s2354 s2356 s2357 s2363 s2375 s2376 s2377 s2379 s2380 s2382 s2383 s2392 s2393 s2395 s2396 s2397 s2399 s2402 s2404 s2405 s2411 s2421 s2422 s2426 s2427 s2432 s2433 s2436 s2440 s2445 s2449 s2452 s2454 s2456 s2472 s2474 s2477 s2485 s2496 s2497 s2499 s2500 s2501 s2504 s2506 s2509 s2511 s2513 s2514 s2527 s2528 s2549 s2550 s2551 s2555 s2557 s2563 s2564 s2565 s2566 s2567 s2568 s2569 s2570 s2572 s2573 s2574 s2575 s2585
s1983 274.081818 122.685674 135.930524 149.461476 183.018834 121.85892 145.209449 146.901562 136.232144 117.337546 0 118.457212 230.973443 166.246286 114.895675 199.106985 166.671456 146.777927 121.291183 223.444506 201.21755 255.963868 171.978223 227.374103 134.243542 185.362295 146.652967 185.037179 126.218985 132.880617 157.965628 133.881234 218.605713 122.788788 114.823542 208.719013 169.459964 174.062087 162.786552 118.663627 179.286237 194.146411 135.004574 207.180072 127.293081 196.932837 112.976637 131.19038 122.567824 130.554769 129.203391 146.366619 179.062014 136.967843 178.799928 198.824031 151.132226 187.02007 131.581726 149.734418 165.328213 141.655189 128.567963 127.3068 211.902118 131.870031 168.285988 150.30527 128.947654 161.891651 197.019096 193.631194 208.794591 189.008289 152.343383 225.682576 137.160822 123.000946 135.004996 216.445857 126.127113 154.695051 185.612852 141.102847 162.95092 234.910115 126.825906 133.579215 127.569731 144.481266 158.636149 177.357283 129.45507 124.833755 136.392828 130.062305 159.742453 274.988086
s2119 239.917223 178.546328 185.441184 210.856736 207.701352 180.368997 161.450381 177.963811 176.01106 419.350461 183.559544 0 201.133751 157.040684 242.100861 196.941385 175.233068 225.461929 184.782928 208.019312 203.952575 166.053229 179.437173 162.347564 289.830942 180.989344 186.892973 200.955043 187.406752 202.840449 189.953192 177.635278 161.686808 252.97477 219.676752 232.397759 204.90416 172.600823 181.211365 268.716546 189.77108 188.236695 256.985684 163.695811 243.572593 200.551884 358.18547 181.366013 243.83172 194.571501 194.572027 189.129852 172.892907 180.375167 157.566581 183.732509 194.766603 190.204473 205.483725 198.069949 198.084453 198.803427 244.318323 333.480922 188.759531 213.508314 235.566741 363.594114 231.625751 204.395894 244.492154 217.692347 173.337485 158.82672 257.476201 193.596935 405.040165 395.168519 323.941259 240.730621 210.6709 265.263701 202.140521 224.331095 183.187035 246.723447 298.86226 197.933063 179.827039 263.220486 178.091483 174.294937 231.836771 252.230134 185.952081 217.803319 251.158694 173.185285
s2221 244.706329 151.889652 163.830989 217.198602 182.948234 158.738836 158.690989 279.850685 147.883395 190.710445 369.191279 190.810345 0 218.843268 151.642977 183.145655 214.290769 193.818162 192.065316 479.702428 236.974597 248.818839 248.564849 286.154989 166.820492 252.90438 197.370502 465.192699 202.401716 219.337454 229.196156 145.88348 283.555261 153.590424 191.313337 401.228329 198.557586 246.38996 208.964914 152.224593 195.605132 228.978313 221.890753 291.313619 152.932632 194.702464 174.538315 164.766743 195.579038 167.687446 183.195905 228.38669 277.383036 166.335927 248.931541 219.957238 157.882495 243.309719 185.787749 162.714938 257.747929 174.766572 178.333732 181.093323 226.899541 169.427045 236.754578 165.997818 181.894685 172.234677 209.157535 200.566242 317.88801 228.374643 176.582176 316.883824 149.77017 157.942138 183.518804 183.792026 159.223368 170.192121 200.980982 202.567975 227.697556 248.082497 151.245757 154.7833 146.673468 165.319279 190.986757 194.903721 158.648457 153.796236 171.825131 151.031599 215.616742 245.648774
s2232 246.415646 241.793872 226.528919 270.877756 256.996479 269.235541 281.009917 309.75728 238.518861 176.490067 275.20713 185.39558 236.736253 0 262.692607 168.729432 354.81794 148.849123 186.897886 204.083547 294.345872 338.160335 318.941102 323.450491 194.39994 308.053461 286.418446 204.793662 201.025923 162.654826 313.867023 241.376263 351.09311 238.846641 198.740582 196.606349 214.697886 289.56424 278.285838 188.311913 333.490546 271.039337 169.613476 307.040891 200.977355 217.247271 208.606412 232.482351 175.793152 211.117869 224.340821 268.781652 291.072194 251.928905 340.702385 322.130842 213.11052 226.117965 200.08501 193.639367 227.848785 305.789194 205.104966 185.818287 273.503169 196.908758 206.419971 188.619667 185.435729 220.954033 183.913325 289.965471 274.77952 301.444559 188.694598 267.037456 198.028322 181.751199 192.656204 163.445514 181.854398 197.317325 281.138342 181.496868 282.553577 185.621029 220.059014 192.104397 237.425668 199.850879 276.743795 260.469069 194.648883 226.539158 266.391137 249.208664 153.527817 262.945997
s2233 196.022018 311.462066 224.840655 227.915529 221.475107 271.251256 495.68359 217.596078 215.864391 241.974095 216.535681 291.468105 178.158372 274.750202 0 223.076744 258.39152 163.308364 237.50044 165.86652 260.691684 263.073237 214.162254 194.024158 265.060767 202.42393 249.079929 180.5935 223.149969 196.47772 246.61059 226.958545 250.201548 367.886227 263.29879 182.087494 244.896962 195.504072 264.41807 283.320367 265.339603 205.813159 214.827829 222.276594 285.342395 185.371535 294.583695 359.302506 235.527747 210.941756 413.925759 232.180411 219.336165 329.322439 218.028691 210.144889 250.417542 242.043112 284.675739 191.379114 199.54973 217.351487 299.288886 280.503385 192.26897 257.672163 181.073501 248.089323 279.154502 185.883514 297.814382 240.000086 206.850821 225.518281 266.759198 203.615009 324.680377 305.089722 299.019269 298.020797 233.942929 339.596521 247.225811 188.373028 251.759607 170.127779 340.568489 248.951968 246.518829 312.981598 254.794951 278.502021 341.848479 340.009647 231.417599 329.850538 184.452366 250.755437
s2259 335.92093 135.769258 164.346304 146.37868 148.824382 159.655347 140.341748 123.318831 147.3519 146.480778 194.963177 136.611647 134.11239 121.733608 139.978706 0 125.986752 224.499993 292.251216 194.180665 148.725889 144.412612 150.970821 140.098112 162.688939 129.578797 143.688852 156.446579 167.589609 341.819347 127.330029 141.301846 140.393925 129.78959 140.924422 194.037959 186.418971 137.131648 140.232977 156.789611 154.653877 128.880954 194.097109 137.175723 165.580361 171.423358 137.965981 191.348023 171.479161 184.996996 146.459398 132.794577 173.520467 159.187369 152.447693 134.154902 311.375722 167.019796 152.599976 164.031021 157.763603 157.847935 149.294587 178.494727 149.183394 182.886177 150.872373 195.943231 156.990866 159.591002 155.368283 157.158347 129.33026 150.903579 243.215853 156.665027 179.589948 153.636694 170.290709 210.067199 333.925803 151.908046 144.312653 265.349856 125.466689 207.340582 162.456567 183.677082 149.889046 141.962332 170.112794 132.823138 133.071958 143.47834 234.507957 131.578822 281.875344 213.379018
s2277 306.902978 207.557286 235.131325 285.454281 380.974299 252.81479 248.877917 284.391656 206.388969 192.786118 278.312076 206.516424 261.050669 355.503827 234.357827 178.410835 0 160.263237 189.877615 240.290108 307.682291 285.470062 233.984974 336.086289 193.762938 291.740683 210.846693 246.21569 197.980478 186.209814 329.227614 263.570797 301.99164 234.707017 204.733373 211.245744 249.20461 244.112657 287.247171 213.2419 293.975713 339.284588 189.993453 332.097113 244.33045 305.799421 248.471201 191.011505 214.858636 190.758301 197.67842 313.731511 257.501272 196.064097 250.732978 305.15578 189.68497 247.738837 227.318006 211.983877 286.102721 303.940406 200.995934 206.411567 281.03091 171.500687 296.366914 189.421328 206.31611 323.667852 243.237063 303.284872 369.153527 311.876433 182.604328 296.781538 192.234062 199.942299 191.006247 189.205432 180.903582 210.604627 247.137431 193.060797 263.587719 226.27679 194.123923 214.103515 234.395262 255.571842 309.628859 239.060241 221.722601 234.606876 227.859494 222.53536 172.25692 261.036797
s2327 342.54032 197.488073 405.332299 187.386008 200.128182 255.928669 180.916795 168.036882 474.656555 209.91662 199.310394 219.537467 202.236442 173.994065 164.52205 282.867913 173.779497 0 214.032197 240.519533 186.090916 183.036223 179.903444 164.874063 229.744537 197.326694 220.742355 222.591163 369.964063 287.47621 165.411887 480.297116 188.853905 178.792475 225.014278 289.87964 206.801642 183.778609 178.96429 205.016603 224.16283 185.555543 225.887868 174.901968 204.911766 220.451501 192.063215 192.487785 249.881084 271.591144 219.02232 195.396804 194.558924 175.133928 190.398724 246.620048 178.167122 204.495219 229.895313 697.794956 240.213601 189.862766 216.037137 206.2946 196.401741 208.668698 293.448388 236.425845 223.324792 210.428119 232.448213 212.738251 165.920153 185.138149 222.287007 192.185949 215.996283 200.702451 234.23265 232.209142 264.095949 232.367906 215.682044 287.123922 183.711631 258.36623 173.930098 176.125031 362.766447 179.94127 178.760001 179.919516 189.184137 188.466232 256.962004 201.574128 411.284954 232.331178
s2332 244.067721 238.036309 245.26176 201.724017 193.538513 307.009284 233.653073 247.677879 236.084062 231.111712 207.394113 219.551759 238.718535 200.528791 230.407371 560.870887 196.592265 290.786227 0 249.20261 191.05548 195.554596 249.880499 212.568881 218.549629 184.274862 220.319448 245.367204 297.546518 727.342981 222.077116 228.668603 186.107996 229.399753 256.898 239.451799 232.120604 206.828473 219.972966 219.622716 202.723421 174.512013 317.419038 225.184078 214.178189 189.108368 206.945584 359.430623 292.115695 382.77571 249.849394 227.13318 230.611903 295.263447 223.849722 195.183538 422.586809 243.322185 210.150881 230.722209 258.454537 191.471393 205.786145 215.974792 193.36402 309.946812 218.636742 202.368187 207.579821 189.340732 201.587987 193.869428 203.349135 219.604983 301.288318 197.969442 221.54865 221.903159 230.76964 237.074988 373.242383 199.90981 177.24005 541.921001 199.132681 207.437208 221.982021 326.936427 222.840744 217.1336 207.877182 222.188031 187.203802 217.249175 374.346199 208.014075 412.256308 246.323972
s2333 218.148393 141.263153 150.013981 201.65383 172.70705 134.271754 131.122438 204.85186 128.423041 187.84688 246.744575 160.585239 368.975012 172.21937 135.018223 192.114747 182.206258 195.364741 167.78449 0 185.447645 186.434673 194.574659 257.984529 152.034222 208.161658 157.316285 428.213295 167.621893 196.704734 178.901861 128.748884 181.531049 141.262764 163.316278 483.23065 183.770371 234.102649 171.659921 144.919027 198.319283 206.705997 187.431715 250.512787 138.665828 197.643355 161.021587 142.268555 177.854858 162.783255 163.167807 231.200342 256.995497 135.944491 184.279631 192.113581 163.770726 193.410031 178.897327 146.340116 256.624248 181.648576 162.843963 159.378722 227.910112 147.500435 260.490517 166.144978 168.330512 185.194538 170.461959 197.071577 302.928886 198.543958 163.788404 224.816934 145.102853 149.599826 162.907896 161.765943 146.439239 162.18552 170.131797 182.906099 181.330804 258.488382 137.710953 138.266841 136.921362 143.506773 174.136025 148.563776 140.652661 136.796115 186.14208 140.700251 246.511016 229.589419
